"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"128","France/Saint Pierre and Miquelon",46.8852,-56.3159,9.98249452954048,9.98249452954048,4562
"129","France/St Martin",18.0708,-63.0501,522.08533916849,522.08533916849,238593
"130","France/Wallis and Futuna",-14.2938,-178.1165,35.1269146608315,35.1269146608315,16053
"131","France/",46.2276,2.2137,1373214.35448578,1373214.35448578,627558960
"132","Gabon/",-0.8037,11.6094,7369.43544857768,7369.43544857768,3367832
"133","Gambia/",13.4432,-15.3101,2256.67396061269,2256.67396061269,1031300
"134","Georgia/",42.3154,43.3569,85823.3960612691,85823.3960612691,39221292
"135","Germany/",51.165691,10.451526,861313.897155361,861313.897155361,393620451
"136","Ghana/",7.9465,-1.0232,37948.8205689278,37948.8205689278,17342611
"137","Greece/",39.0742,21.8243,67742.7439824945,67742.7439824945,30958434
"138","Grenada/",12.1165,-61.679,54.2800875273523,54.2800875273523,24806
"139","Guatemala/",15.7835,-90.2308,78807.9080962801,78807.9080962801,36015214
"140","Guinea/",9.9456,-9.6966,8806.5010940919,8806.5010940919,4024571
"141","Guinea-Bissau/",11.8037,-15.1804,1827.69803063457,1827.69803063457,835258
"142","Guyana/",4.860416,-58.93018,3343.46608315098,3343.46608315098,1527964
"143","Haiti/",18.9712,-72.2852,6649.16411378556,6649.16411378556,3038668
"144","Holy See/",41.9029,12.4534,16.308533916849,16.308533916849,7453
"145","Honduras/",15.2,-86.2419,72075.8358862144,72075.8358862144,32938657
"146","Hungary/",47.1625,19.5033,152433.787746171,152433.787746171,69662241
"147","Iceland/",64.9631,-19.0208,3254.93216630197,3254.93216630197,1487504
"148","India/",20.593684,78.96288,5206603.31509847,5206603.31509847,2379417715
"149","Indonesia/",-0.7893,113.9213,441045.754923414,441045.754923414,201557910
"150","Iran/",32.427908,53.688046,661543.658643326,661543.658643326,302325452
"151","Iraq/",33.223191,43.679291,319579.15536105,319579.15536105,146047674
"152","Ireland/",53.1424,-7.6921,73617.0240700219,73617.0240700219,33642980
"153","Israel/",31.046051,34.851612,267445.24726477,267445.24726477,122222478
"154","Italy/",41.87194,12.56738,1060794.23413567,1060794.23413567,484782965
"155","Jamaica/",18.1096,-77.2975,8852.4113785558,8852.4113785558,4045552
"156","Japan/",36.204824,138.252924,142704.286652079,142704.286652079,65215859
"157","Jordan/",31.24,36.51,139424,139424,63716768
"158","Kazakhstan/",48.0196,66.9237,120828.72428884,120828.72428884,55218727
"159","Kenya/",-0.0236,37.9062,47431.010940919,47431.010940919,21675972
"160","Korea, South/",35.907757,127.766922,35088.886214442,35088.886214442,16035621
"161","Kosovo/",42.602636,20.902977,26225.7439824945,26225.7439824945,11985165
"162","Kuwait/",29.31166,47.481766,93544.1181619256,93544.1181619256,42749662
"163","Kyrgyzstan/",41.20438,74.766098,41652.8205689278,41652.8205689278,19035339
"164","Laos/",19.85627,102.495496,25.6673960612691,25.6673960612691,11730
"165","Latvia/",56.8796,24.6032,23327.9671772429,23327.9671772429,10660881
"166","Lebanon/",33.8547,35.8623,114210.807439825,114210.807439825,52194339
"167","Lesotho/",-29.61,28.2336,2859.15317286652,2859.15317286652,1306633
"168","Liberia/",6.428055,-9.429499,1089.31947483589,1089.31947483589,497819
"169","Libya/",26.3351,17.228331,49868.0371991247,49868.0371991247,22789693
"170","Liechtenstein/",47.14,9.55,855.768052516411,855.768052516411,391086
"171","Lithuania/",55.1694,23.8813,58574.7943107221,58574.7943107221,26768681
"172","Luxembourg/",49.8153,6.1296,21065.4442013129,21065.4442013129,9626908
"173","MS Zaandam/",0,0,7.63894967177243,7.63894967177243,3491
"174","Madagascar/",-18.766947,46.869107,11245.7330415755,11245.7330415755,5139300
"175","Malawi/",-13.2543,34.3015,8688.71991247265,8688.71991247265,3970745
"176","Malaysia/",4.210484,101.975766,80222.9978118162,80222.9978118162,36661910
"177","Maldives/",3.2028,73.2207,8697.78118161926,8697.78118161926,3974886
"178","Mali/",17.570692,-3.996166,3837.75711159737,3837.75711159737,1753855
"179","Malta/",35.9375,14.3754,7508.00218818381,7508.00218818381,3431157
"180","Marshall Islands/",7.1315,171.1845,1.43544857768053,1.43544857768053,656
"181","Mauritania/",21.0079,-10.9408,7464.44857768052,7464.44857768052,3411253
"182","Mauritius/",-20.348404,57.552152,413.01750547046,413.01750547046,188749
"183","Mexico/",23.6345,-102.5528,815810.207877462,815810.207877462,372825265
"184","Micronesia/",7.4256,150.5508,0.201312910284464,0.201312910284464,92
"185","Moldova/",47.4116,28.3699,73435.636761488,73435.636761488,33560086
"186","Monaco/",43.7333,7.4167,596.921225382932,596.921225382932,272793
"187","Mongolia/",46.8625,103.8467,1587.50547045952,1587.50547045952,725490
"188","Montenegro/",42.708678,19.37439,24843.0590809628,24843.0590809628,11353278
"189","Morocco/",31.7917,-7.0926,187181.735229759,187181.735229759,85542053
"190","Mozambique/",-18.665695,35.529562,16149.52297593,16149.52297593,7380332
"191","Namibia/",-22.9576,18.4904,13224.7921225383,13224.7921225383,6043730
"192","Nepal/",28.1667,84.25,113535.702407002,113535.702407002,51885816
"193","Netherlands/Aruba",12.5211,-69.9683,3200.56455142232,3200.56455142232,1462658
"194","Netherlands/Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,85.4048140043764,85.4048140043764,39030
"195","Netherlands/Curacao",12.1696,-68.99,1918.71334792123,1918.71334792123,876852
"196","Netherlands/Sint Maarten",18.0425,-63.0548,756.809628008753,756.809628008753,345862
"197","Netherlands/",52.1326,5.2913,379652.884026258,379652.884026258,173501368
"198","New Zealand/",-40.9006,174.886,1616.13566739606,1616.13566739606,738574
"199","Nicaragua/",12.865416,-85.207229,3651.11597374179,3651.11597374179,1668560
"200","Niger/",17.607789,8.081666,1861.50547045952,1861.50547045952,850708
"201","Nigeria/",9.082,8.6753,59702.829321663,59702.829321663,27284193
"202","North Macedonia/",41.6086,21.7453,39313.7571115974,39313.7571115974,17966387
"203","Norway/",60.472,8.4689,28318.0525164114,28318.0525164114,12941350
"204","Oman/",21.512583,55.923255,77403.4070021882,77403.4070021882,35373357
"205","Pakistan/",30.3753,69.3451,292725.964989059,292725.964989059,133775766
"206","Panama/",8.538,-80.7821,130836.827133479,130836.827133479,59792430
"207","Papua New Guinea/",-6.314993,143.95555,899.006564551422,899.006564551422,410846
"208","Paraguay/",-23.4425,-58.4438,59028.398249453,59028.398249453,26975978
"209","Peru/",-9.19,-75.0152,640112.008752735,640112.008752735,292531188
"210","Philippines/",12.879721,121.774017,270123.234135667,270123.234135667,123446318
"211","Poland/",51.9194,19.1451,604059.207877462,604059.207877462,276055058
"212","Portugal/",39.3999,-8.2245,242594.807439825,242594.807439825,110865827
"213","Qatar/",25.3548,51.1839,98468.1356673961,98468.1356673961,44999938
"214","Romania/",45.9432,24.9668,292505.905908096,292505.905908096,133675199
"215","Russia/",61.52401,105.318756,1644149.52297593,1644149.52297593,751376332
"216","Rwanda/",-1.9403,29.8739,6160.26258205689,6160.26258205689,2815240
"217","Saint Kitts and Nevis/",17.357822,-62.782998,20.6477024070022,20.6477024070022,9436
"218","Saint Lucia/",13.9094,-60.9789,717.862144420131,717.862144420131,328063
"219","Saint Vincent and the Grenadines/",12.9843,-61.2872,346.98249452954,346.98249452954,158571
"220","Samoa/",-13.759,-172.1046,0.809628008752735,0.809628008752735,370
"221","San Marino/",43.9424,12.4578,1453.2647702407,1453.2647702407,664142
"222","Sao Tome and Principe/",0.1864,6.6131,842.606126914661,842.606126914661,385071
"223","Saudi Arabia/",23.885942,45.079162,234690.056892779,234690.056892779,107253356
"224","Senegal/",14.4974,-14.4524,13976.9803063457,13976.9803063457,6387480
"225","Serbia/",44.0165,21.0059,152636.343544858,152636.343544858,69754809
"226","Seychelles/",-4.6796,55.492,685.540481400438,685.540481400438,313292
"227","Sierra Leone/",8.460555,-11.779889,1875.56892778993,1875.56892778993,857135
"228","Singapore/",1.2833,103.8333,42019.2669584245,42019.2669584245,19202805
"229","Slovakia/",48.669,19.699,90870.5557986871,90870.5557986871,41527844
