"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"183","Mauritius/",-20.348404,57.552152,472.752032520325,472.752032520325,232594
"184","Mexico/",23.6345,-102.5528,926125.87195122,926125.87195122,455653929
"185","Micronesia/",7.4256,150.5508,0.258130081300813,0.258130081300813,127
"186","Moldova/",47.4116,28.3699,86174.0609756098,86174.0609756098,42397638
"187","Monaco/",43.7333,7.4167,730.605691056911,730.605691056911,359458
"188","Mongolia/",46.8625,103.8467,4625.45528455285,4625.45528455285,2275724
"189","Montenegro/",42.708678,19.37439,30063.0203252033,30063.0203252033,14791006
"190","Morocco/",31.7917,-7.0926,210406.115853659,210406.115853659,103519809
"191","Mozambique/",-18.665695,35.529562,19995.0792682927,19995.0792682927,9837579
"192","Namibia/",-22.9576,18.4904,15861.1890243902,15861.1890243902,7803705
"193","Nepal/",28.1667,84.25,134450.62804878,134450.62804878,66149709
"194","Netherlands/Aruba",12.5211,-69.9683,3738.45731707317,3738.45731707317,1839321
"195","Netherlands/Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,175.270325203252,175.270325203252,86233
"196","Netherlands/Curacao",12.1696,-68.99,2651.48983739837,2651.48983739837,1304533
"197","Netherlands/Sint Maarten",18.0425,-63.0548,865.128048780488,865.128048780488,425643
"198","Netherlands/",52.1326,5.2913,463337.859756098,463337.859756098,227962227
"199","New Zealand/",-40.9006,174.886,1688.89837398374,1688.89837398374,830938
"200","Nicaragua/",12.865416,-85.207229,3892.34552845528,3892.34552845528,1915034
"201","Niger/",17.607789,8.081666,2106.14837398374,2106.14837398374,1036225
"202","Nigeria/",9.082,8.6753,67226.4390243902,67226.4390243902,33075408
"203","North Macedonia/",41.6086,21.7453,47438.1666666667,47438.1666666667,23339578
"204","Norway/",60.472,8.4689,34622.8333333333,34622.8333333333,17034434
"205","Oman/",21.512583,55.923255,86185.9776422764,86185.9776422764,42403501
"206","Pakistan/",30.3753,69.3451,333020.270325203,333020.270325203,163845973
"207","Panama/",8.538,-80.7821,147745.991869919,147745.991869919,72691028
"208","Papua New Guinea/",-6.314993,143.95555,1737.82723577236,1737.82723577236,855011
"209","Paraguay/",-23.4425,-58.4438,76274.4552845529,76274.4552845529,37527032
"210","Peru/",-9.19,-75.0152,726151.052845528,726151.052845528,357266318
"211","Philippines/",12.879721,121.774017,329257.585365854,329257.585365854,161994732
"212","Poland/",51.9194,19.1451,762070.87398374,762070.87398374,374938870
"213","Portugal/",39.3999,-8.2245,285095.152439024,285095.152439024,140266815
"214","Qatar/",25.3548,51.1839,106418.014227642,106418.014227642,52357663
"215","Romania/",45.9432,24.9668,347415.06300813,347415.06300813,170928211
"216","Russia/",61.52401,105.318756,1871070.70731707,1871070.70731707,920566788
"217","Rwanda/",-1.9403,29.8739,7553.4756097561,7553.4756097561,3716310
"218","Saint Kitts and Nevis/",17.357822,-62.782998,22.510162601626,22.510162601626,11075
"219","Saint Lucia/",13.9094,-60.9789,1001.87601626016,1001.87601626016,492923
"220","Saint Vincent and the Grenadines/",12.9843,-61.2872,458.284552845528,458.284552845528,225476
"221","Samoa/",-13.759,-172.1046,0.965447154471545,0.965447154471545,475
"222","San Marino/",43.9424,12.4578,1710.82926829268,1710.82926829268,841728
"223","Sao Tome and Principe/",0.1864,6.6131,947.611788617886,947.611788617886,466225
"224","Saudi Arabia/",23.885942,45.079162,248405.906504065,248405.906504065,122215706
"225","Senegal/",14.4974,-14.4524,15875.7723577236,15875.7723577236,7810880
"226","Serbia/",44.0165,21.0059,191485.855691057,191485.855691057,94211041
"227","Seychelles/",-4.6796,55.492,1190.86585365854,1190.86585365854,585906
"228","Sierra Leone/",8.460555,-11.779889,2032.66056910569,2032.66056910569,1000069
"229","Singapore/",1.2833,103.8333,43399.5650406504,43399.5650406504,21352586
"230","Slovakia/",48.669,19.699,111810.957317073,111810.957317073,55010991
"231","Slovenia/",46.1512,14.9955,71203.3130081301,71203.3130081301,35032030
"232","Solomon Islands/",-9.6457,160.1562,7.67886178861789,7.67886178861789,3778
"233","Somalia/",5.152149,46.199616,4435.95528455285,4435.95528455285,2182490
"234","South Africa/",-30.5595,22.9375,696370.506097561,696370.506097561,342614289
"235","South Sudan/",6.877,31.307,3510.61788617886,3510.61788617886,1727224
"236","Spain/",40.463667,-3.74922,1304181.86178862,1304181.86178862,641657476
"237","Sri Lanka/",7.873054,80.771797,31133.5426829268,31133.5426829268,15317703
"238","Sudan/",12.8628,30.2176,15369.668699187,15369.668699187,7561877
"239","Suriname/",3.9193,-56.0278,4309.09756097561,4309.09756097561,2120076
"240","Sweden/",60.128161,18.643501,284613.965447154,284613.965447154,140030071
"241","Switzerland/",46.8182,8.2275,232757.630081301,232757.630081301,114516754
"242","Syria/",34.802075,38.996815,7003.94308943089,7003.94308943089,3445940
"243","Taiwan*/",23.7,121,660.158536585366,660.158536585366,324798
"244","Tajikistan/",38.861,71.2761,8052.08536585366,8052.08536585366,3961626
"245","Tanzania/",-6.369028,34.888822,414.762195121951,414.762195121951,204063
"246","Thailand/",15.870032,100.992541,13903.25,13903.25,6840399
"247","Timor-Leste/",-8.874217,125.727539,346.386178861789,346.386178861789,170422
"248","Togo/",8.6195,0.8248,3383.16666666667,3383.16666666667,1664518
"249","Trinidad and Tobago/",10.6918,-61.2225,4215.95528455285,4215.95528455285,2074250
"250","Tunisia/",33.886917,9.537499,89621.837398374,89621.837398374,44093944
"251","Turkey/",38.9637,35.2433,1236741.17073171,1236741.17073171,608476656
"252","US/",40,-100,12157000.2073171,12157000.2073171,5981244102
"253","Uganda/",1.373333,32.290275,16108.2215447154,16108.2215447154,7925245
"254","Ukraine/",48.3794,31.1656,622759.296747967,622759.296747967,306397574
"255","United Arab Emirates/",23.424076,53.847818,167899.473577236,167899.473577236,82606541
"256","United Kingdom/Anguilla",18.2206,-63.0686,13.4573170731707,13.4573170731707,6621
"257","United Kingdom/Bermuda",32.3078,-64.7505,491.388211382114,491.388211382114,241763
"258","United Kingdom/British Virgin Islands",18.4207,-64.64,67.5040650406504,67.5040650406504,33212
"259","United Kingdom/Cayman Islands",19.3133,-81.2546,248.022357723577,248.022357723577,122027
"260","United Kingdom/Channel Islands",49.3723,-2.3644,1626.11788617886,1626.11788617886,800050
"261","United Kingdom/Falkland Islands (Malvinas)",-51.7963,-59.5236,23.1524390243902,23.1524390243902,11391
"262","United Kingdom/Gibraltar",36.1408,-5.3536,1465.67479674797,1465.67479674797,721112
"263","United Kingdom/Isle of Man",54.2361,-4.5481,497.016260162602,497.016260162602,244532
"264","United Kingdom/Montserrat",16.742498,-62.187366,12.2276422764228,12.2276422764228,6016
"265","United Kingdom/Saint Helena, Ascension and Tristan da Cunha",-7.9467,-14.3559,1.78455284552846,1.78455284552846,878
